"filename", "language", "JavaScript", "JSON", "Markdown", "Environment Variables", "YAML", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\weather\WeatherData.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 4, 17, 198
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\img\LOGOwhite.svg", "XML", 0, 0, 0, 0, 0, 21, 0, 1, 1, 23
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 3, 6, 34
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\pages\Expense.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 2, 14, 104
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\pages\Fitness.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\pages\Home.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 2, 4, 41
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\pages\Login.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 6, 5, 24
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\pages\NotFound.js", "JavaScript", 198, 0, 0, 0, 0, 0, 0, 1, 17, 216
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\pages\Register.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 5, 19
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\pages\Todo.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 2, 5, 35
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\pages\Welcome.js", "JavaScript", 188, 0, 0, 0, 0, 0, 0, 8, 11, 207
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\reducers\alertReducer.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\reducers\authReducer.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\reducers\expenseReducer.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\reducers\index.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\reducers\newsReducer.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\reducers\todoReducer.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\reducers\weatherReducer.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\utils\format.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\utils\setAuthToken.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\config\config.env.env", "Environment Variables", 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\config\db.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\controller\auth.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 25, 29, 139
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\controller\expense.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 15, 17, 100
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\controller\todos.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 25, 29, 171
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\middleware\async.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\middleware\auth.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 5, 7, 39
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\middleware\error.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 4, 8, 35
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\models\Expense.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\models\Todo.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\models\User.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 3, 8, 54
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\package-lock.json", "JSON", 0, 2187, 0, 0, 0, 0, 0, 0, 1, 2188
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\routes\auth.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\routes\expense.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\routes\todos.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\server.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 12, 17, 67
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\utils\errorResponse.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 5371, 19034, 222, 8, 27, 21, 25, 581, 827, 26116
